"country","id_geography"
"Afghanistan",2
"Albania",3
"Algeria",4
"Angola",7
"Antigua and Barbuda",8
"Argentina",9
"Armenia",1
"Australia",10
"Austria",11
"Azerbaijan",52
"Bahrain",13
"Bangladesh",16
"Barbados",14
"Belarus",57
"Belgium",255
"Belize",23
"Benin",53
"Bhutan",18
"Bolivia (Plurinational State of)",19
"Bosnia and Herzegovina",80
"Botswana",20
"Brazil",21
"Bulgaria",27
"Burkina Faso",233
"Burundi",29
"Cambodia",115
"Cameroon",32
"Canada",33
"Central African Republic",37
"Chad",39
"Chile",40
"China",351
"Colombia",44
"Costa Rica",48
"Croatia",98
"Cuba",49
"Cyprus",50
"Denmark",54
"Djibouti",72
"Dominica",55
"Dominican Republic",56
"Ecuador",58
"Egypt",59
"El Salvador",60
"Equatorial Guinea",61
"Eritrea",178
"Estonia",63
"Ethiopia",238
"Fiji",66
"Finland",67
"France",68
"Gabon",74
"Gambia",75
"Georgia",73
"Germany",79
"Ghana",81
"Greece",84
"Grenada",86
"Guatemala",89
"Guinea",90
"Guinea-Bissau",175
"Guyana",91
"Haiti",93
"Honduras",95
"Hungary",97
"India",100
"Indonesia",101
"Iran (Islamic Republic of)",102
"Iraq",103
"Ireland",104
"Israel",105
"Italy",106
"Jamaica",109
"Japan",110
"Jordan",112
"Kazakhstan",108
"Kenya",114
"Kuwait",118
"Kyrgyzstan",113
"Lao People's Democratic Republic",120
"Lebanon",121
"Lesotho",122
"Liberia",123
"Libya",124
"Lithuania",126
"Luxembourg",256
"Madagascar",129
"Malawi",130
"Malaysia",131
"Mali",133
"Malta",134
"Mauritania",136
"Mauritius",137
"Mexico",138
"Micronesia (Federated States of)",145
"Mongolia",141
"Montenegro",273
"Morocco",143
"Mozambique",144
"Namibia",147
"Nepal",149
"Netherlands (Kingdom of the)",150
"New Zealand",156
"Nicaragua",157
"Niger",158
"Nigeria",159
"North Macedonia",154
"Norway",162
"Oman",221
"Pakistan",165
"Panama",166
"Paraguay",169
"Peru",170
"Philippines",171
"Poland",173
"Portugal",174
"Puerto Rico",177
"Qatar",179
"Romania",183
"Russian Federation",185
"Rwanda",184
"Saudi Arabia",194
"Senegal",195
"Singapore",200
"Slovakia",199
"Slovenia",198
"Somalia",201
"South Africa",202
"Spain",203
"Sri Lanka",38
"Sudan",276
"Suriname",207
"Sweden",210
"Switzerland",211
"Syrian Arab Republic",212
"Tajikistan",208
"Thailand",216
"Tunisia",222
"Türkiye",223
"Uganda",226
"Ukraine",230
"United Arab Emirates",225
"United Kingdom of Great Britain and Northern Ireland",229
"United States of America",231
"Uruguay",234
"Uzbekistan",235
"Venezuela (Bolivarian Republic of)",236
"Viet Nam",237
"Yemen",249
"Zambia",251
"Zimbabwe",181
